Variable;Scenario;Region;Value
alppha_z_virgin;SSP2;JPN;2.163857389867990E-06
alppha_rm;SSP2;JPN;1.558870159382750E-01
alppha_z_recycled;SSP2;JPN;6.839608592930550E-07
alppha_rw;SSP2;JPN;1.524657776234430E-02
h_nondurable;SSP2;JPN;0.00019744894137293600
h_otherdurable;SSP2;JPN;0.00023737126444356700
h_energydurable;SSP2;JPN;0.00023979499787797800
h_capital;SSP2;JPN;0.00021257058437446500
h_repair;SSP2;JPN;0.00022002258792351200
h_sharing;SSP2;JPN;0.00019855567654773500
h_virgin;SSP2;JPN;0.00024135608975410800
h_recycled;SSP2;JPN;0.00021983403713695700
betta;SSP2;JPN;0.999286033348500
share_domestic_nondurable;SSP2;JPN;9.85285561058264E-01
share_domestic_otherdurable;SSP2;JPN;4.77623345408488E-01
share_domestic_energydurable;SSP2;JPN;9.02068497157114E-01
share_domestic_capital;SSP2;JPN;7.49695226190999E-01
share_domestic_virgin;SSP2;JPN;0.995556888540467
share_domestic_recycled;SSP2;JPN;0.994260530300463
share_imp_nondurable;SSP2;JPN;5.39873655657854E-01
share_imp_otherdurable;SSP2;JPN;4.67182790144107E-01
share_imp_energydurable;SSP2;JPN;9.35521106853089E-01
share_imp_capital;SSP2;JPN;4.49371777172021E-01
share_imp_virgin;SSP2;JPN;0.290923752085656
share_imp_recycled;SSP2;JPN;0.313531763723056
share_row_nondurable;SSP2;JPN;1.69072137628764E-01
share_row_otherdurable;SSP2;JPN;2.95985488575423E-01
share_row_energydurable;SSP2;JPN;3.44264473053440E-01
share_row_capital;SSP2;JPN;2.17917862646679E-01
share_row_virgin;SSP2;JPN;1.012749272142620
share_row_recycled;SSP2;JPN;1.013464317576310
share_row_dom_nondurable;SSP2;JPN;9.98693053698148E-01
share_row_dom_otherdurable;SSP2;JPN;9.92535780891912E-01
share_row_dom_energydurable;SSP2;JPN;9.88019422331867E-01
share_row_dom_capital;SSP2;JPN;9.97124868157458E-01
Demand_foreign_capital;SSP2;JPN;10.28266545505860
Demand_foreign_otherdurable;SSP2;JPN;12.59125822350380
Demand_foreign_nondurable;SSP2;JPN;12.59125822350380
Demand_foreign_energydurable;SSP2;JPN;12.59125822350380
tax_other;SSP2;JPN;0
Tr;SSP2;JPN;0.12365478964883400000
habit_lowcarbon;SSP2;JPN;0.55
habit_cautious;SSP2;JPN;0.55
habit_constrained;SSP2;JPN;0.55
share_savings_cautious;SSP2;JPN;0.453021248
p_fg_row;SSP2;JPN;1
deltta_nondurable_fix;SSP2;JPN;1
alppha_ed_sharing;SSP2;JPN;6.75646516519137000E-01
alppha_e_sharing;SSP2;JPN;7.44040934008161000E-03
alppha_es_sharing;SSP2;JPN;1.53879810632580000E-01
alppha_n_sharing;SSP2;JPN;1.456293373553730E-04
alppha_nes;SSP2;JPN;9.01002652831620E-01
alppha_es;SSP2;JPN;9.26034418014870E-02
alppha_x;SSP2;JPN;9.28735389849530E-01
alppha_od;SSP2;JPN;6.68762318535432E-02
alppha_sharing_lowcarbon;SSP2;JPN;8.17702473176507E-02
alppha_sharing_cautious;SSP2;JPN;8.17702473176507E-02
alppha_sharing_constrained;SSP2;JPN;8.17702473176507E-02
alppha_home_lowcarbon;SSP2;JPN;9.42504362208295E-01
alppha_home_cautious;SSP2;JPN;9.42504362208295E-01
alppha_home_constrained;SSP2;JPN;9.42504362208295E-01
alppha_ed_new_lowcarbon;SSP2;JPN;8.39441671358826E-01
alppha_ed_new_cautious;SSP2;JPN;8.39441671358826E-01
alppha_ed_new_constrained;SSP2;JPN;8.39441671358826E-01
alppha_ed_repair_lowcarbon;SSP2;JPN;3.77577916611228E-01
alppha_ed_repair_cautious;SSP2;JPN;3.77577916611228E-01
alppha_ed_repair_constrained;SSP2;JPN;3.77577916611228E-01
alppha_ed;SSP2;JPN;7.12463697486944E-01
alppha_e;SSP2;JPN;1.57555979402923E-02
alppha_el_lowcarbon;SSP2;JPN;2.597797591126180E-01
alppha_el_cautious;SSP2;JPN;2.597797591126180E-01
alppha_el_constrained;SSP2;JPN;2.597797591126180E-01
alppha_nel_lowcarbon;SSP2;JPN;4.380596385366360E-01
alppha_nel_cautious;SSP2;JPN;4.380596385366360E-01
alppha_nel_constrained;SSP2;JPN;4.380596385366360E-01
